,"YouTube video link.  Use a link to somewhere in the middle of the lecture, not the beginning, which is usually boring. ",Thumbnail link.,Course or Lecture Series name,University ,Professor or Speaker,Your name
Mathematics,https://www.youtube.com/embed/VdLhQs_y_E8?start=301,https://i.ytimg.com/vi/VdLhQs_y_E8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLC1HI40lQo40n-dy5--fFSdBMfvdQ,Abstract Algebra,Harvard,Benedict Gross,Jordan Vuong and Loren Aguilar
Mathematics,https://www.youtube.com/embed/0sKPkJME2Jw?start=672,https://i.ytimg.com/vi/0sKPkJME2Jw/maxresdefault.jpg,Mathematics of Big Data and Machine Learning,MIT,Jeremy Kepner,Kelly Chan
Mathematics,https://www.youtube.com/embed/VPZD_aij8H0?start=1998,http://i3.ytimg.com/vi/VPZD_aij8H0/hqdefault.jpg,1. Introduction to Statistics,MIT,Philippe Rigollet,Deep Sethi
Mathematics,https://www.youtube.com/embed/7K1sB05pE0A?start=1177,https://i.ytimg.com/vi/7K1sB05pE0A/hqdefault.jpg,Single Variable Calculus,MIT,David Jerison,"Joshua Baylasy, John Jung"

Social Sciences,https://www.youtube.com/embed/0gIueAXIeKw?start=1232,https://img.youtube.com/vi/0gIueAXIeKw/0.jpg,The Social Life of God,Penn State,Sam Richards,"Alec Atienza, Chance Lau, Alex Long"
Social Sciences,https://www.youtube.com/embed/x_-OykbUA3I?start=1359,https://img.youtube.com/vi/x_-OykbUA3I/0.jpg,A Sociologist & A Yogi,Penn State,Sam Richards,"Alec Atienza, Chance Lau, Alex Long"
Social Sciences,https://www.youtube.com/embed/zkzihRQ6Bv8?start=1109,http://i3.ytimg.com/vi/zkzihRQ6Bv8/maxresdefault.jpg,Macroeconomics,Missouri State,Thomas Wyrick,Prof. Amenta
Social Sciences,https://www.youtube.com/embed/zFIB8-30YhA?start=1481,http://i3.ytimg.com/vi/zFIB8-30YhA/maxresdefault.jpg,Microeconomics,MIT,Jon Gruber,Prof. Amenta
Social Sciences,https://www.youtube.com/embed/BDqvzFY72mg?start=1326,https://i.ytimg.com/vi/BDqvzFY72mg/0.jpg,Power & Politics,Yale,Ian Shapiro,Nicole Pavlovich
Social Sciences,https://www.youtube.com/embed/EH6vE97qIP4?start=22,https://i.ytimg.com/vi/EH6vE97qIP4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAd_hioGIG7IYNvYaF2dab3-j18WQ,Blockchain and Money,MIT,Gary Gensler,"Anthony Vu, Judy Zhang, Jimmy Trinh, Lennon Cruz"
Social Sciences,https://www.youtube.com/embed/nM3rTU927io?start=2015,http://i3.ytimg.com/vi/nM3rTU927io/hqdefault.jpg,Game Theory,Yale,Ben Polak,Grant Koziol
Social Sciences,https://www.youtube.com/embed/z1k3zii5syU?start=2406,http://i3.ytimg.com/vi/z1k3zii5syU/maxresdefault.jpg,World Religions Through Their Scriptures,Harvard,Diane L. Moore,Deep Sethi
